fecha_notificacion;region;prop1d
2020-03-19;01;NA
2020-03-20;01;NA
2020-03-23;01;NA
2020-03-25;01;NA
2020-03-26;01;NA
2020-03-29;01;NA
2020-03-30;01;0
2020-03-31;01;0
2020-04-01;01;0.0714285714285714
2020-04-03;01;0.0714285714285714
2020-04-04;01;0.0714285714285714
2020-04-05;01;0.0714285714285714
2020-04-06;01;0.0714285714285714
2020-04-07;01;0.0714285714285714
2020-04-08;01;0.0714285714285714
2020-04-09;01;0
2020-04-11;01;0
2020-04-13;01;0
2020-04-14;01;0
2020-04-15;01;0
2020-04-16;01;0
2020-04-17;01;0
2020-04-18;01;0
2020-04-19;01;0
2020-04-20;01;0.0714285714285714
2020-04-21;01;0.153061224489796
2020-04-22;01;0.181632653061224
2020-04-23;01;0.21734693877551
2020-04-24;01;0.303061224489796
2020-04-25;01;0.374489795918367
2020-04-26;01;0.460204081632653
2020-04-27;01;0.470408163265306
2020-04-28;01;0.436394557823129
2020-04-29;01;0.422108843537415
2020-04-30;01;0.400680272108843
2020-05-01;01;0.347933019361591
2020-05-02;01;0.347933019361591
2020-05-03;01;0.275824175824176
2020-05-04;01;0.194191522762951
2020-05-05;01;0.168550497121926
2020-05-06;01;0.189979068550497
2020-05-07;01;0.183212151257264
2020-05-08;01;0.160449199922884
2020-05-09;01;0.0939467368686969
2020-05-10;01;0.0803412946918262
2020-05-11;01;0.0862936756442072
2020-05-12;01;0.0836206729712045
2020-05-13;01;0.0866473073537711
2020-05-14;01;0.123771367504147
2020-05-15;01;0.161918934223142
2020-05-16;01;0.206906767328965
2020-05-17;01;0.249550690569903
2020-05-18;01;0.301089598816128
2020-05-19;01;0.350160647887177
2020-05-20;01;0.37243163255223
2020-05-21;01;0.349217346837944
2020-05-22;01;0.338528036148633
2020-05-23;01;0.29186084791518
2020-05-24;01;0.261972026715058
2020-05-25;01;0.235202703722289
2020-05-26;01;0.241768087336853
2020-05-27;01;0.263041896860662
2020-05-28;01;0.301704028379937
2020-05-29;01;0.312742989418898
